ref_number,disclosure_group,title_en,title_fr,name,description_en,description_fr,start_date,end_date,location_en,location_fr,vendor_en,vendor_fr,employee_attendees,guest_attendees,total,additional_comments_en,additional_comments_fr,record_created,record_modified,user_modified,owner_org,log_date,log_activity,vendor_2_en,vendor_2_fr,vendor_other_en,vendor_other_fr
H-2022-Q1-0001,SLE,Chief Administrator,Administratrice en chef,Darlene Carreau,Meals served during the Federal Court Retreat,Repas servi à la retraite de la Cour fédérale,2022-04-27,2022-04-29,"Montebello, Quebec, Canada","Montebello, Québec, Canada",Fairmont Le Chateau Montebello,Fairmont Le Chateau Montebello,11.0,44.0,1977.85,,,2022-07-27T17:55:58,2022-07-27T17:55:58,fatma01,cas-satj,2022-07-30,D,,,,
H-2021-P8-001,SLE,"Regional Director General, Maritimes","Directeur général régional, Maritimes","Wentzell, Doug ",Ministerial Meetings- Maritimes Region,Réunions ministérielles - Région des Maritimes,2021-11-18,2021-11-18,"Darmouth, Nova Scotia, Canada","Darmouth, Nouvelle-Écosse, Canada",Divine Dishes,Divine Dishes,7.0,4.0,321.17,,,2021-12-30T17:32:20,2021-12-30T17:32:34,sana-mtibaa,dfo-mpo,2022-01-21,D,,,,
H-2021-P1-001,MPSES,Prime Minister, Premier ministre,"Trudeau, Justin",Coffee and refreshments for meetings and other hospitality expenses for the month of April 2021,"Café et rafraîchissements pour des réunions, et autres frais d'accueil pour le mois de avril 2021",2021-04-01,2021-04-30,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",Labrador,Labrador ,20.0,0.0,36.12,Water Cooler bottles for the office.  ,Bouteilles d'eau pour le bureau.,2021-05-28T19:40:55.062947,2021-05-28T19:40:55.062947,james_d_pco1,pmo-cpm,2021-06-01,D,,,,
H-2022-P1-001,MPSES,Prime Minister, Premier ministre,"Trudeau, Justin",Coffee and refreshments for meetings and other hospitality expenses for the month of April 2021,"Café et rafraîchissements pour des réunions, et autres frais d'accueil pour le mois de avril 2021",2021-04-01,2021-04-30,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",Labrador,Labrador ,20.0,0.0,36.12,Water Cooler bottles for the office.  ,Bouteilles d'eau pour le bureau.,2021-05-31T18:04:27.611320,2021-05-31T18:04:27.611320,james_d_pco1,pmo-cpm,2021-06-02,D,,,,
H-2021-P1-001,SLE,"Deputy Minister, Public Service Accessibility",Sous-ministre à l'Accessibilité au sein de la fonction publique,"Laroche, Yazmine",Deputy Minister Retreat,Journée de réflexion des sous-ministres,2019-10-01,2019-10-01,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",Privy Council Office,Bureau du Conseil privé,1.0,0.0,76.44,,,2020-05-29T14:47:33.934512,2020-05-29T14:47:33.934512,kbrieretbs,tbs-sct,2020-09-10,D,,,,
H-2021-P1-002,SLE,"Deputy Minister, Public Service Accessibility",Sous-ministre à l'Accessibilité au sein de la fonction publique,"Laroche, Yazmine",Deputy Minister Retreat,Journée de réflexion des sous-ministres,2019-04-17,2019-04-17,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",Privy Council Office,Bureau du Conseil privé,1.0,0.0,77.79,,,2020-05-29T14:47:33.934512,2020-05-29T14:47:33.934512,kbrieretbs,tbs-sct,2020-09-10,D,,,,
H-2021-P3-001,MPSES,Other expenses,Autres dépenses,President Office,Bulk purchase of water for various meetings,Achat en vrac d’eau pour diverses réunions,2020-03-11,2020-03-11,"Ottawa, Ontario, Canada","Ottawa (Ontario), Canada",Water Universe,Water Universe,0.0,15.0,67.5,,,2020-07-30T14:08:31.155347,2020-07-30T14:08:31.155347,kbrieretbs,tbs-sct,2020-09-10,D,,,,
H-2021-P3-002,MPSES,Other expenses,Autres dépenses,President Office,Bulk purchase of water for various meetings,Achat en vrac d’eau pour diverses réunions,2020-01-28,2020-01-28,"Ottawa, Ontario, Canada","Ottawa (Ontario), Canada",Water Universe,Water Universe,0.0,15.0,75.0,,,2020-07-30T14:08:31.155347,2020-07-30T14:08:31.155347,kbrieretbs,tbs-sct,2020-09-10,D,,,,
H-2020-P12-006,SLE,Chief Operating Officer,Administrateur en chef des opérations,"Lapointe, André",Coffee break and lunch for the session of the Indigenous Cultural Awareness training at Toronto office.,Pauses-café et diners pour la formation de sensibilisation aux cultures autochtones au bureau régional de Toronto.                                                                                                                                                                                           ,2020-03-12,2020-03-13,"Richmond Hill, Ontario, Canada","Richmond Hill, Ontario, Canada",Select Sandwich Co,Select Sandwich Co,10.0,3.0,354.07,,,2020-06-25T14:23:44.371923,2020-06-25T14:23:44.371923,cmlanthi,tsb-bst,2020-09-30,D,,,,
H-2020-P03-0001,SLE,Other expenses,Autres dépenses,Office of the Auditor General of Canada - Corporate Events / Bureau du vérificateur général du Canada - Évènements corporatifs,Refreshements:  Fall 2019 Tabling Day and media lock-up for the Commissioner of the Environment and Sustainable Development's Report,Rafraîchissements: Dépôt du rapport d'automne 2019 du Commissaire à l'environnement et au développement durable et séance à huis clos aux parlementaires.,2020-02-18,2020-02-18,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",House of Communs,Chambre des communes,8.0,26.0,173.85,,,2020-07-27T15:19:49.901160,2020-07-27T15:19:49.901160,stephaniecharbonneau015,oag-bvg,2020-10-01,D,,,,
