year,quarter,record_created,record_modified,user_modified,owner_org,log_date,log_activity
,Q2,,,,fja-cmf,2022-07-05,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-05,D
,Q2,,,,ocol-clo,2022-07-05,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-05,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-05,D
,Q2,,,,fja-cmf,2022-07-06,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-06,D
,Q2,,,,ocol-clo,2022-07-06,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-06,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-06,D
,Q2,,,,fja-cmf,2022-07-07,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-07,D
,Q2,,,,ocol-clo,2022-07-07,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-07,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-07,D
,Q2,,,,fja-cmf,2022-07-08,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-08,D
,Q2,,,,ocol-clo,2022-07-08,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-08,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-08,D
,Q2,,,,fja-cmf,2022-07-19,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-19,D
,Q2,,,,ocol-clo,2022-07-19,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-19,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-19,D
,Q2,,,,fja-cmf,2022-07-24,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-24,D
,Q2,,,,ocol-clo,2022-07-24,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-24,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-24,D
,Q2,,,,fja-cmf,2022-07-26,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-26,D
,Q2,,,,ocol-clo,2022-07-26,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-26,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-26,D
,Q2,,,,fja-cmf,2022-07-27,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-27,D
,Q2,,,,ocol-clo,2022-07-27,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-27,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-27,D
,Q2,,,,fja-cmf,2022-07-28,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-28,D
,Q2,,,,ocol-clo,2022-07-28,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-28,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-28,D
2021.0,Q2,2022-01-31 19:03:21.599798,2022-01-31 19:03:21.599798,jeremie-26,csps-efpc,2022-07-29,D
,Q2,,,,fja-cmf,2022-07-29,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-29,D
,Q2,,,,ocol-clo,2022-07-29,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-29,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-29,D
,Q2,,,,fja-cmf,2022-07-30,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-07-30,D
,Q2,,,,ocol-clo,2022-07-30,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-30,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-07-30,D
,Q2,,,,fja-cmf,2022-08-01,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-08-01,D
,Q2,,,,ocol-clo,2022-08-01,D
2019.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-08-01,D
2020.0,,2020-06-05 17:10:48.295135,2020-06-05 17:10:48.295135,michelle_bergeron,osgg-bsgg,2022-08-01,D
2022.0,Q4,2022-06-27 17:20:56.398493,2022-06-27 17:20:56.398493,mpcc-cppm,mpcc-cppm,2022-08-02,D
,Q2,,,,fja-cmf,2022-08-02,D
,Q4,2020-05-29 01:21:17.750217,2020-05-29 01:21:17.750217,nelson55,fja-cmf,2022-08-02,D
