ref_number,disclosure_group,title_en,title_fr,name,purpose_en,purpose_fr,start_date,end_date,destination_en,destination_fr,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en,additional_comments_fr,record_created,record_modified,user_modified,owner_org,log_date,log_activity,destination_2_en,destination_2_fr,destination_other_en,destination_other_fr
T-2022-P10-0001,MPSES,Driver,Chauffeur,Michel Gendreau,Drive the Minister from the airport to her riding to Ottawa ,Conduire la Ministre de l'aéroport à sa circonscription à Ottawa,2021-12-11,2021-12-13,Sherbrooke (Quebec) Canada,Sherbrooke (Québec) Canada,0.0,2.4,247.5,170.3,0.0,420.2,,,2022-02-25T19:26:21,2022-02-25T19:26:21,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P10-0002,MPSES,Driver,Chauffeur,Michel Gendreau,Drive the Minister from Ottawa to her riding,Conduire la Ministre d'Ottawa à sa circonscription,2021-12-16,2021-12-17,Sherbrooke (Quebec) Canada,Sherbrooke (Québec) Canada,0.0,61.8,0.0,0.0,0.0,61.8,,,2022-02-25T19:26:21,2022-02-25T19:26:21,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P10-0003,SLE,Deputy Minister,Sous-Ministre,Chris Forbes,"To meet with senior-level Government Officials, Industry representatives and non-governmental stakeholders to establish positive relationships and to discuss area of current and potential collaboration.","Pour rencontrer des hauts fonctionnaires, des représentants de l'industrie et des parties prenantes non gouvernementales afin d'établir des relations positives et de discuter des domaines de collaboration actuels et potentiels.",2021-12-09,2021-12-10,Washinton (District of Columbia) United States of America,Washington (district de Columbia) États-Unis d'Amérique,1092.83,30.0,274.76,94.52,90.4,1582.51,,,2022-02-25T19:26:21,2022-02-25T19:26:21,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0001,MPSES,Minister,Ministre,Marie-Claude Bibeau,To attend an outreach in Vancouver,Pour assister à une campagne de sensibilisation à Vancouver,2021-12-09,2021-12-11,Vancouver (British Columbia) Canada,Vancouver (Colombie-Britannique) Canada,3452.58,0.0,368.88,117.3,0.0,3938.76,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0002,MPSES,Press Secretary,Attachée de presse,Marianne Dandurand,To accompany the Minister to the Union of agricultural producers conference ,Pour accompagner la ministre à la conférence de l'Union des producteurs agricoles,2021-12-02,2021-12-02,Québec (Quebec) Canada,Québec (Québec) Canada,0.0,0.0,0.0,95.95,0.0,95.95,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0003,MPSES,Driver,Chauffeur,Michel Gendreau,Drive to the Minister's riding to deliver secure Cabinet documents ,Se rendre dans la circonscription de la Ministre pour lui remettre les documents du Cabinet sécurisés. ,2022-01-24,2022-01-24,Sherbrooke (Quebec) Canada,Sherbrooke (Québec) Canada,0.0,4.8,0.0,42.95,0.0,47.75,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0004,MPSES,Driver,Chauffeur,Michel Gendreau,Drive the Minister from her riding to the Montréal airport ,Conduire la Ministre de sa circonscription à l'aéroport de Montréal,2022-01-26,2022-01-26,Sherbrooke (Quebec) Canada; Montréal (Quebec) Canada,Sherbrooke (Québec) Canada; Montréal (Québec) Canada,0.0,2.4,0.0,74.6,0.0,77.0,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0005,MPSES,Driver,Chauffeur,Michel Gendreau,Drive the Minister from the Montréal airport to her riding ,Conduire la Ministre de l'aéroport de Montréal à sa circonscription ,2022-01-28,2022-01-28,Montréal (Quebec) Canada; Sherbrooke (Quebec) Canada,Montréal (Québec) Canada; Sherbrooke (Québec) Canada,0.0,2.4,0.0,74.6,0.0,77.0,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0006,MPSES,Driver,Chauffeur,Michel Gendreau,Drive the Minister from her riding to Ottawa ,Conduire la Ministre de sa circonscription à Ottawa,2022-02-06,2022-02-07,Sherbrooke (Quebec) Canada,Sherbrooke (Québec) Canada,0.0,6.0,123.75,74.35,0.0,204.1,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
T-2022-P11-0007,MPSES,Driver,Chauffeur,Michel Gendreau,Drive the Minister from Ottawa to her riding,Conduire la Ministre d'Ottawa à sa circonscription,2022-02-11,2022-02-11,Sherbrooke (Quebec) Canada,Sherbrooke (Québec) Canada,0.0,6.0,0.0,53.0,0.0,59.0,,,2022-03-28T18:26:00,2022-03-28T18:26:00,ryan_handyside,aafc-aac,2022-07-21,D,,,,
